confirmedCount,curedCount,currentConfirmedCount,deadCount,suspectedCount
274896.0,179929.0,84023.0,10944.0,293.0
733.0,574.0,149.0,10.0,0.0
231957.0,10269.0,216276.0,5412.0,0.0
16431.0,941.0,15047.0,443.0,0.0
5990.0,169.0,5794.0,27.0,4.0
497504.0,69392.0,393041.0,35071.0,0.0
6903.0,439.0,6221.0,243.0,0.0
